(
    (0.0 0.0 0)
    (5.9595959595959597 0.0 0)
    (9.76022782536787 -0.038371531963399264 0)
    (53.53783980595134 -1.3810659773547673 0)
    (97.21466938680835 -4.639393287645177 0)
    (140.7069320858616 -9.8071030717517 0)
    (183.93119747238663 -16.874282204295767 0)
    (226.8045492101169 -25.82737384177336 0)
    (269.2447441141707 -36.64920342840683 0)
    (311.1703699166839 -49.31901164178765 0)
    (352.50100143850904 -63.81249421511437 0)
    (393.1573548674002 -80.1018485596332 0)
    (433.0614398467341 -98.15582709784776 0)
    (472.1367090830178 -117.93979720518854 0)
    (510.308205185195 -139.41580764515814 0)
    (547.5027044540702 -162.54266137051064 0)
    (583.6488573460234 -187.27599455081102 0)
    (618.677325341565 -213.56836167477945 0)
    (652.5209139561791 -241.3693265641672 0)
    (685.1147016383035 -270.62555912457753 0)
    (716.396164307182 -301.2809376476324 0)
    (746.305295291692 -333.2766564682439 0)
    (774.7847204400704 -366.5513387704712 0)
    (801.7798081797225 -401.04115432556887 0)
    (827.2387743159951 -436.67994193637816 0)
    (851.1127813688681 -473.39933635316476 0)
    (873.3560322570243 -511.1288994174621 0)
    (893.9258581495685 -549.7962551823265 0)
    (912.7828003168877 -589.3272287498296 0)
    (929.8906858236235 -629.6459885594342 0)
    (945.2166969185712 -670.6751918543288 0)
    (958.7314339883834 -712.3361330466496 0)
    (970.4089719543251 -754.5488946970113 0)
    (980.2269100038867 -797.2325008186963 0)
    (988.1664145618658 -840.3050722124507 0)
    (994.2122554184751 -883.6839835338834 0)
    (998.3528349451838 -927.2860217921948 0)
    (1000.5802103422401 -971.027545976164 0)
    (1000.8901088752028 -1014.8246475012137 0)
    (999.2819360712514 -1058.5933111697427 0)
    (995.758776859552 -1102.249576335985 0)
    (990.3273896534937 -1145.7096979662115 0)
    (982.9981933861444 -1188.8903072853363 0)
    (973.7852475237978 -1231.7085717017471 0)
    (962.7062250959499 -1274.0823537035872 0)
    (949.782378793443 -1315.9303684216761 0)
    (935.0385001998072 -1357.1723395568235 0)
    (918.50287223401 -1397.7291533724201 0)
    (900.2072148958368 -1437.5230104569043 0)
    (880.1866244179826 -1476.4775749649855 0)
    (858.479505941575 -1514.5181210513315 0)
    (835.1274998442785 -1551.5716762158233 0)
    (810.175401862302 -1587.5671612853992 0)
    (783.6710771595369 -1622.4355267639617 0)
    (755.9225472424534 -1656.2799933206898 0)
    (729.1646176918823 -1690.8435400061055 0)
    (703.94268639172 -1726.5433962354816 0)
    (680.3049430084125 -1763.311352951257 0)
    (658.2965504184901 -1801.0771603557876 0)
    (637.9595584192227 -1839.7686621324046 0)
    (619.3328233872014 -1879.311933309118 0)
    (602.451934038353 -1919.6314215015564 0)
    (587.3491434312301 -1960.6500912652825 0)
    (574.0533073434929 -2002.2895712816837 0)
    (562.5898291393232 -2044.4703040962136 0)
    (552.9806112331075 -2087.1116981228997 0)
    (545.2440132421252 -2130.132281624686 0)
    (539.3948169081932 -2173.4498583754157 0)
    (535.4441978552934 -2216.981664706041 0)
    (533.3997042371398 -2260.644527635006 0)
    (533.2652423154827 -2304.3550237806667 0)
    (535.0410689967059 -2348.0296387521407 0)
    (538.7237913409733 -2391.584926714032 0)
    (544.3063730448689 -2434.9376698201786 0)
    (551.7781478851355 -2478.0050372117967 0)
    (561.124840097835 -2520.704743276234 0)
    (572.3285916539865 -2562.955204863964 0)
    (585.3679963795738 -2604.6756971634386 0)
    (600.2181408547289 -2645.786507935975 0)
    (616.8506520139467 -2686.2090898159922 0)
    (635.2337513563909 -2725.866210385621 0)
    (655.3323156627089 -2764.6820997369296 0)
    (677.1079441023523 -2802.5825952398495 0)
    (700.5190316031848 -2839.495283239189 0)
    (725.5208483431963 -2875.349637410016 0)
    (752.0656252124448 -2910.0771535070544 0)
    (780.1026450819367 -2943.6114802506454 0)
    (809.5783397050709 -2975.888546099201 0)
    (840.4363920664989 -3006.846681665924 0)
    (872.6178439828533 -3036.4267375459185 0)
    (906.0612087497606 -3064.5721973285517 0)
    (940.7025886199083 -3091.229285579153 0)
    (976.4757968877149 -3116.347070583735 0)
